location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC4,63.1,2016-04-15 22:00:00,1.9786,2016-04-15T23:18:19.000+0000,51.48743685,-0.168397129,1460762310881 
KC3,69.7,2016-04-13 21:00:00,5.25901,2016-04-16T21:47:32.000+0000,51.49913951,-0.164337605,1460843311575 
KC5,82.2,2016-04-16 20:00:00,2.5976,2016-04-16T21:47:32.000+0000,51.49019756,-0.190863311,1460843311575 
KC3,69.7,2016-04-13 21:00:00,5.80422,2016-04-16T10:17:29.000+0000,51.49913951,-0.164337605,1460801911123 
KC5,68.9,2016-04-16 09:00:00,6.48106,2016-04-16T10:17:29.000+0000,51.49019756,-0.190863311,1460801911123 
KC5,85.9,2016-04-17 00:00:00,0,2016-04-17T02:02:32.000+0000,51.49019756,-0.190863311,1460858611724 
KC3,69.7,2016-04-13 21:00:00,2.11728,2016-04-16T07:48:24.000+0000,51.49913951,-0.164337605,1460792911073 
KC4,46.4,2016-04-16 06:00:00,2.57447,2016-04-16T07:48:24.000+0000,51.48743685,-0.168397129,1460792911073 
KC4,59.8,2016-04-16 15:00:00,5.26975,2016-04-16T16:32:30.000+0000,51.48743685,-0.168397129,1460824411399 
KC3,69.7,2016-04-13 21:00:00,0.01017,2016-04-17T01:32:31.000+0000,51.49913951,-0.164337605,1460856811709 
KC4,77.8,2016-04-17 00:00:00,0,2016-04-17T01:32:31.000+0000,51.48743685,-0.168397129,1460856811709 
KC5,98.6,2016-04-16 16:00:00,4.46105,2016-04-16T18:02:32.000+0000,51.49019756,-0.190863311,1460829811435 
KC3,69.7,2016-04-13 21:00:00,0.08615,2016-04-15T23:18:19.000+0000,51.49913951,-0.164337605,1460762310881 
KC5,58.7,2016-04-17 03:00:00,0.70036,2016-04-17T04:32:32.000+0000,51.49019756,-0.190863311,1460867611811 
KC3,69.7,2016-04-13 21:00:00,3.16221,2016-04-17T09:17:33.000+0000,51.49913951,-0.164337605,1460884711971 
KC3,69.7,2016-04-13 21:00:00,4.03973,2016-04-16T12:47:29.000+0000,51.49913951,-0.164337605,1460810911261 
KC5,69.9,2016-04-16 11:00:00,6.47265,2016-04-16T12:47:29.000+0000,51.49019756,-0.190863311,1460810911261 
KC4,22.8,2016-04-16 02:00:00,2.15883,2016-04-16T04:03:21.000+0000,51.48743685,-0.168397129,1460779410991 
KC3,69.7,2016-04-13 21:00:00,5.83908,2016-04-16T14:17:29.000+0000,51.49913951,-0.164337605,1460816311309 
KC5,68.9,2016-04-16 13:00:00,5.11259,2016-04-16T14:17:29.000+0000,51.49019756,-0.190863311,1460816311309 
KC4,52.3,2016-04-16 13:00:00,6.11509,2016-04-16T14:17:29.000+0000,51.48743685,-0.168397129,1460816311309 
KC5,43.4,2016-04-16 00:00:00,2.21395,2016-04-16T01:18:19.000+0000,51.49019756,-0.190863311,1460769510922 
KC5,32.9,2016-04-16 01:00:00,3.12211,2016-04-16T03:03:21.000+0000,51.49019756,-0.190863311,1460775810976 
